APP_ID;APP_TYPE;NAME;NAME_SHORT
1;1;Парковки;Парковки
2;2;АРМ кассира билетного;АРМ КБ
3;2;АПБ;АПБ
5;1;ПУсК;ПУсК
6;1;Валидатор вестибюльного комплекса;Валидатор ВК
7;1;Валидатор наземного транспорта;Валидатор НТ
8;2;АРМ сервисного центра;АРМ СЦ
9;2;ЦОД НБС;ЦОД НБС
15;2;АРМ старшего кассира билетного;АРМ СКБ
16;3;Информационные терминалы;ИТ
17;3;Информационные терминалы с функцией продажи билетов;ИТ ПБ
18;1;АРМ контролера автоматизированного пункта прохода;АРМ КАПП
19;3;Программно-технический комплекс территориального узла, ранее - сервер управления вестибюлем;ПТК ТУ
20;3;АРМ оператора контроля качества;АРМ КК
21;3;АРМ билетного склада;АРМ БС
22;3;АРМ кодирования и пересчёта;АРМ КП
23;3;АРМ Предприятия перевозчика;АРМ ПП
24;3;АРМ Персонализации SAM;АРМ П SAM
25;3;АРМ локальной диагностики;АРМ ЛД
26;3;ПАК ЦОТТ;ПАК ЦОТТ
27;3;АСОП;АСОП
29;2;Платформа мобильной тройки;ПМТ
30;2;Мобильный АРМ;МАРМ
31;3;Личный кабинет пассажира;ЛКП
32;3;АСКП;АСКП
33;2;Корпоративный клиент;ЛККК
34;2;МЦД Касса;МЦД Касса
35;2;МЦД БПА;МЦД БПА
36;1;МЦД Валидатор;МЦД Валидатор
37;2;МЦД ИТ;МЦД ИТ
38;1;МЦД Турникет;МЦД Турникет
39;3;МЦД ПТК;МЦД ПТК
