GD_ID;GOOD_CODE;APP_CODE;CRD_CODE;NAME_SHORT;NAME;ARCHITECT_ID
299;202;262;202;БСК 365 дней;БСК на 365 дней;1
300;201;262;201;БСК 90 дней;БСК на 90 дней;1
359;301;262;301;БЛАНК ТК;Бланк транспортной карты;1
860;200;262;200;БСК 30 дней;БСК на 30 дней;1
1000;100;262;100;Пропуск руковод.;Пропуск руководителя метрополитена;1
1100;304;262;304;Бланк МЖД-БСК;Бланк Единой транспортной карты МЖД;1
1509;57;262;57;СКМ;Социальная карта москвича;1
1513;305;262;305;Бланк СКС;Бланк СК студента;1
1514;211;262;211;СКС тек. мес.;СК студента на тек. мес.;1
1519;307;262;307;Бланк СКУ;Бланк СК учащегося;1
1520;215;262;215;СКУ тек. мес.;СК учащегося тек. месяц;1
1537;58;262;58;БТК;Безналичная транспортная карта;1
1959;309;262;309;БЛАНК СКМ ПТК;Бланк СКМ для платной ТК;1
4072;59;262;59;СК МО;Социальная карта жителя Моск. области;1
4073;102;262;102;Пропуск сотр.УВД;Пропуск сотрудника УВД по охране Метрополитена;1
4098;111;262;111;Бланк УЛ;Бланк Ультралайт;2
4110;61;262;61;БСК дружинника;БСК дружинника г.Москвы;1
4112;104;262;104;Пропуск метро;Пропуск сотрудника метрополитена;1
4125;150;262;150;ВЕСБ МОСКВА;ВЕСБ МОСКВА;2
4126;151;266;150;ВЕСБ МО;ВЕСБ МО;2
4144;114;262;114;Бланк УЛ Е;Бланк Ультралайт Единый;2
4145;149;262;149;УЛ Единый (70);Ультралайт Единый (70);2
4164;133;262;133;ВЛБ МО;ВЛБ МО;2
4167;132;262;132;ВЛБ МОСКВА;ВЛБ МОСКВА;2
4168;134;262;134;ВРЕМЕННЫЙ 5ДН;ВРЕМЕННЫЙ 5ДН;2
4170;109;262;109;Бланк ВЛБ;Бланк ВЛБ;2
4171;110;262;110;Бланк ВР 5ДН;Бланк ВР 5ДН;2
4204;135;262;135;ВРЕМЕННЫЙ 5ДН АЗ;ВРЕМЕННЫЙ 5 ДН АВАРИЙНЫЙ;2
4217;333;262;333;Бланк ЕТК;Бланк единой транспортной карты;1
4245;108;262;108;Бланк ЛБ орггруп;Бланк ЛБ для организованных групп;2
4246;139;262;139;FIFA болельщик;Билет болельщика FIFA;2
4249;140;262;140;ЛБ1 для орггрупп;ЛБ1 для организованных групп;2
4255;143;262;143;ЛБ для ВОВ;ЛБ для ветеранов Великой Отечественной войны;2
4332;62;262;62;СКМ с сопровожд.;Социальная карта москвича с сопровождающим;1
4333;63;262;63;СК МО с сопровож;Социальная карта жителя Моск. области с сопровождающим;1
4339;300;262;300;БЛАНК УЭК;Бланк БЛАНК УЭК;1
4366;167;262;167;БАГАЖНЫЙ УЛ;БАГАЖНЫЙ УЛ;2
4370;335;279;335;Бланк ЕДИНЫЙ;Бланк ЕДИНЫЙ;2
4371;411;279;411;1 ПОЕЗД. ЕДИНЫЙ;1 ПОЕЗДКА ЕДИНЫЙ;2
4373;412;279;412;2 ПОЕЗД. ЕДИНЫЙ;2 ПОЕЗДКИ ЕДИНЫЙ;2
4381;416;279;416;20 ПОЕЗД. ЕДИНЫЙ;20 ПОЕЗДОК ЕДИНЫЙ;2
4383;417;279;417;40 ПОЕЗД. ЕДИНЫЙ;40 ПОЕЗДОК ЕДИНЫЙ;2
4385;418;279;418;60 ПОЕЗД. ЕДИНЫЙ;60 ПОЕЗДОК ЕДИНЫЙ;2
4387;336;279;336;Бланк бил 90 мин;Бланк билета на 90 минут;2
4400;427;279;427;60 ПОЕЗД. 90 мин;60 ПОЕЗДОК 90 минут;2
4402;419;279;419;1 сутки ЕДИНЫЙ;Билет 1 сутки ЕДИНЫЙ;2
4413;338;279;338;БЛАНК КОШ(платн);Бланк кошелька (платный);1
4414;433;279;433;КОШЕЛЕК;КОШЕЛЕК;1
4421;327;279;327;БЛАНК КОШ УЭК;Бланк кошелька УЭК;1
4422;332;279;332;Бланк 1 сутки;Бланк билета на 1 сутки;2
4423;328;279;328;Бланк КОШ(агент);Бланк кошелька (агенты);1
4430;317;279;317;Бланк ЕД (платн);Бланк ЕДИНЫЙ (платный);1
4434;461;279;461;1 поездка ЕД ТК;1 поездка ЕДИНЫЙ ТК;1
4436;468;279;468;1 сутки ТК;1 сутки ЕДИНЫЙ ТК;1
4438;469;279;469;30 дней ТК;30 дней ЕДИНЫЙ ТК;1
4442;475;279;475;11 п. 90 мин ТК;11 поездок 90 мин ТК;1
4444;462;279;462;2 поездки ЕД ТК;2 поездки ЕДИНЫЙ ТК;1
4446;463;279;463;5 поездок ЕД ТК;5 поездок ЕДИНЫЙ ТК;1
4448;464;279;464;11 поездок ЕД ТК;11 поездок ЕДИНЫЙ ТК;1
4450;465;279;465;20 поездок ЕД ТC;20 поездок ЕДИНЫЙ ТC;1
4452;466;279;466;40 поездок ЕД ТC;40 поездок ЕДИНЫЙ ТC;1
4454;467;279;467;60 поездок ЕД ТC;60 поездок ЕДИНЫЙ ТC;1
4456;470;279;470;90 дней ТК;90 дней ЕДИНЫЙ ТК;1
4458;471;279;471;365 дней ТК;365 дней ЕДИНЫЙ ТК;1
4464;474;279;474;5 п. 90 мин ТК;5 поездок 90 мин ТК;1
4466;476;279;476;20 п. 90 мин ТК;20 поездок 90 мин ТК;1
4468;477;279;477;40 п. 90 мин ТК;40 поездок 90 мин ТК;1
4470;478;279;478;60 п. 90 мин ТК;60 поездок 90 мин ТК;1
4473;316;279;316;Бланк ЕД УЭК;Бланк ЕДИНЫЙ УЭК;1
4474;318;279;318;Бланк ЕД (агент);Бланк ЕДИНЫЙ (агенты);1
4487;64;262;64;СК ГУВД Москвы;СК для сотрудника ГУВД г.Москвы;1
4488;65;262;65;Техническая БСК;Техническая БСК для Службы связи;1
4490;340;279;340;Бланк ЕД (банк);Бланк ЕДИНЫЙ (банк);1
4491;341;279;341;Бланк КОШ (банк);Бланк кошелька (банк);1
4492;251;266;151;ВЕСБ МО (7 мин);ВЕСБ МО (7 мин);2
4493;252;266;152;ВЕСБ МО с сопров;ВЕСБ МО с сопровождающим;2
4496;435;279;435;3 суток ЕДИНЫЙ;Билет 3 суток ЕДИНЫЙ;2
4498;436;279;436;7 суток ЕДИНЫЙ;Билет 7 суток ЕДИНЫЙ;2
4517;350;279;350;Бланк Сутки Ед;Бланк суточного билета Единый;2
4518;351;262;351;Бланк УЛ Багаж;Бланк Ультралайт багажный;2
4519;410;279;410;1 ПОЕЗД. ЕД.;1 ПОЕЗДКА ЕДИНЫЙ;2
4521;352;279;352;Бланк ЕДИНЫЙ МГТ;Бланк ЕДИНЫЙ МГТ;2
4531;437;279;437;1 ПОЕЗД. 90 мин;1 ПОЕЗД. 90 минут;2
4533;438;279;438;2 ПОЕЗД. 90 мин;2 ПОЕЗД. 90 минут;2
4535;439;279;439;1 п. 90 мин ТК;1 поездка 90 мин ТК;1
4537;440;279;440;2 п. 90 мин ТК;2 поездки 90 мин ТК;1
4543;105;262;105;Пропуск МЦК;Пропуск сотрудника МЦК;1
4547;354;262;354;Бланк РЛ Регион;Бланк разовый льготный для региональных льготников;2
4548;353;262;353;Бланк РЛ Федерал;Бланк разовый льготный для федеральных льготников;2
4550;136;262;136;РЛ Федеральный;Билет разовый льготный для федеральных льготников;2
4551;137;262;137;РЛ Региональный;Билет разовый льготный для региональных льготников;2
4553;355;262;355;Бланк РЛ студент;Бланк разовый льготный для региональных студентов;2
4554;138;262;138;РЛ студент;Билет разовый льготный для региональных студентов и обучающихся;2
4556;481;279;481;Перезапись;Перезапись;1
4558;408;279;408;50 ПОЕЗД. ЕД.ТЕХ;50 ПОЕЗДОК ЕДИНЫЙ ТЕХНИЧЕСКИЙ;2
4560;482;279;482;365 дн.ЕД.ТК ТЕХ;365 дней ЕДИНЫЙ ТК ТЕХНИЧЕСКИЙ;1
4562;483;279;483;55 п. ЕД ТК ТЕХ.;55 поездок ЕДИНЫЙ ТК ТЕХНИЧЕСКИЙ;1
4570;406;262;406;Аккредитов./ЛБА;Билет аккредитов. лица FIFA/ЛБ аспиранта;2
4572;407;262;407;Билет волонтера;Билет волонтера;2
4588;405;262;405;Билет журналиста;Билет журналиста;2
4590;226;262;226;СКС на 3 мес.;СК студента на 3 месяца;1
4593;228;262;228;СКУ на 3 мес.;СК учащегося на 3 месяца;1
4596;234;262;234;СКО тек. мес.;СК ординатора на тек. мес.;1
4598;236;262;236;СКО на 3 мес.;СК ординатора на 3 месяца;1
