RT_CODE;PARENT_RT_CODE;NAME;ROUTE_NAME
1;0;ММ;ММ
2;1;ММ/ММТС;ММ
3;2;ММ/ММТС/МГТ;ММ/МГТ
4;1;ММ/МЦК;ММ
5;4;ММ/МЦК/ММ;ММ
6;5;ММ/МЦК/ММ/ММТС;ММ
7;6;ММ/МЦК/ММ/ММТС/МГТ;ММ/МГТ
8;5;ММ/МЦК/ММ/МГТ;ММ/МГТ
9;5;ММ/МЦК/ММ/МЦД МСК-МЦД МСК_1;ММ/МЦД-М
10;5;ММ/МЦК/ММ/МЦД МСК-МЦД МСК_2;ММ/МЦД-М
11;9;ММ/МЦК/ММ/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МГТ
12;10;ММ/МЦК/ММ/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МГТ
13;5;ММ/МЦК/ММ/МЦД МСК-МЦД МО_1;ММ/МЦД-М-МЦД-МО
14;5;ММ/МЦК/ММ/МЦД МСК-МЦД МО_2;ММ/МЦД-М-МЦД-МО
15;5;ММ/МЦК/ММ/МЦД МСК-ДП_1;ММ/МЦД-М-МЦД-МО
16;5;ММ/МЦК/ММ/МЦД МСК-ДП_2;ММ/МЦД-М-МЦД-МО
17;4;ММ/МЦК/МГТ;ММ/МГТ
18;4;ММ/МЦК/МЦД МСК-МЦД МСК_1;ММ/МЦД-М
19;4;ММ/МЦК/МЦД МСК-МЦД МСК_2;ММ/МЦД-М
20;18;ММ/МЦК/МЦД МСК-МЦД МСК_1/ММ;ММ/МЦД-М/ММ
21;19;ММ/МЦК/МЦД МСК-МЦД МСК_2/ММ;ММ/МЦД-М/ММ
22;20;ММ/МЦК/МЦД МСК-МЦД МСК_1/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
23;21;ММ/МЦК/МЦД МСК-МЦД МСК_2/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
24;18;ММ/МЦК/МЦД МСК-МЦД МСК_1/ММТС;ММ/МЦД-М/ММ
25;19;ММ/МЦК/МЦД МСК-МЦД МСК_2/ММТС;ММ/МЦД-М/ММ
26;24;ММ/МЦК/МЦД МСК-МЦД МСК_1/ММТС/МГТ;ММ/МЦД-М/ММ/МГТ
27;25;ММ/МЦК/МЦД МСК-МЦД МСК_2/ММТС/МГТ;ММ/МЦД-М/ММ/МГТ
28;18;ММ/МЦК/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МГТ
29;19;ММ/МЦК/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МГТ
30;18;ММ/МЦК/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2;ММ/МЦД-М/МЦД-М
31;19;ММ/МЦК/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1;ММ/МЦД-М/МЦД-М
32;30;ММ/МЦК/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МЦД-М/МГТ
33;31;ММ/МЦК/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МЦД-М/МГТ
34;18;ММ/МЦК/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МО_2;ММ/МЦД-М/МЦД-М-МЦД-МО
35;19;ММ/МЦК/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МО_1;ММ/МЦД-М/МЦД-М-МЦД-МО
36;18;ММ/МЦК/МЦД МСК-МЦД МСК_1/МЦД МСК-ДП_2;ММ/МЦД-М/МЦД-М-МЦД-МО
37;19;ММ/МЦК/МЦД МСК-МЦД МСК_2/МЦД МСК-ДП_1;ММ/МЦД-М/МЦД-М-МЦД-МО
38;4;ММ/МЦК/МЦД МСК-МЦД МО_1;ММ/МЦД-М-МЦД-МО
39;4;ММ/МЦК/МЦД МСК-МЦД МО_2;ММ/МЦД-М-МЦД-МО
