PLACE_ID;CODE;NAME;TYPE_ID;IS_PARKING;IS_TEST;ST_CODE;ST_NAME;ST_NAME_SHORT;LN_CODE;LN_NAME;LN_NAME_SHORT
38826;1;ЦОД НБС;1;0;0;1951;ЦОД НБС;ЦОД НБС;1681;ПАК ЦОТТ;ПАК ЦОТТ
40234;1;Виртуальная Станция ЖД;15;0;0;;;;;;
38904;1;Учебная;3;0;0;26;МОС 1;МОС 1;4;Наземный городской пассажирский транспорт;НГПТ
40233;1;Виртуальная эксплуатационная площадка МГТ;8;0;0;;;;;;
38809;2;Учебная;3;0;0;25;МОС 2;МОС 2;4;Наземный городской пассажирский транспорт;НГПТ
38813;3;Учебная;3;0;0;27;МОС 3;МОС 3;4;Наземный городской пассажирский транспорт;НГПТ
38815;4;Учебная;3;0;0;28;МОС 4;МОС 4;4;Наземный городской пассажирский транспорт;НГПТ
38802;5;5;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
38903;6;6;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
38804;7;7;3;0;0;13;мосд 7;мосд 7;4;Наземный городской пассажирский транспорт;НГПТ
38805;8;8;3;0;0;14;мосд 8;мосд 8;4;Наземный городской пассажирский транспорт;НГПТ
2005;8;большое место 34;1;1;0;;;;;;
38806;9;Учебная;3;0;0;8;Зеленоградский АК;ЗАК;4;Наземный городской пассажирский транспорт;НГПТ
38808;10;10;3;0;0;20;мосд 10;мосд 10;4;Наземный городской пассажирский транспорт;НГПТ
38807;11;Тест_СДиК;3;0;0;16;Тест_ЦО;Тест_ЦО;4;Наземный городской пассажирский транспорт;НГПТ
38915;11;Бульвар Рокоссовского (Северный);1;1;0;19;Бульвар Рокоссовского;Б.Рокоссовского;8;Сокольническая линия;Сокольническая
1597;12;Бульвар Рокоссовского ( Южный );1;1;0;19;Бульвар Рокоссовского;Б.Рокоссовского;8;Сокольническая линия;Сокольническая
1630;21;Черкизовская ( Северный );1;1;0;22;Черкизовская;Черкизовская;8;Сокольническая линия;Сокольническая
1631;22;Черкизовская ( Южный );1;1;0;22;Черкизовская;Черкизовская;8;Сокольническая линия;Сокольническая
1616;31;Преображенская пл. ( Северный );1;0;0;25;Преображенская пл.;Преображенск. пл;8;Сокольническая линия;Сокольническая
1617;32;Преображенская пл. ( Южный );1;0;0;25;Преображенская пл.;Преображенск. пл;8;Сокольническая линия;Сокольническая
1622;41;Сокольники СЛ;1;0;0;28;Сокольники;Сокольники СЛ;8;Сокольническая линия;Сокольническая
1603;51;Красносельская;1;0;0;30;Красносельская;Красносельская;8;Сокольническая линия;Сокольническая
1602;61;Комсомольская (СОКОЛЬНИЧЕСКАЯ );1;0;0;32;Комсомольская (СОКОЛЬНИЧЕСКАЯ);Комсомольск. СЛ;8;Сокольническая линия;Сокольническая
39011;66;Сокольники;1;0;0;;;;;;
1604;71;Красные ворота ( Северный );1;0;0;34;Красные ворота;Красные ворота;8;Сокольническая линия;Сокольническая
38937;72;Красные ворота ( Южный );1;0;0;34;Красные ворота;Красные ворота;8;Сокольническая линия;Сокольническая
39252;72;Шлюз Тула;3;0;0;;;;;;
39796;73;Шлюз Кошелек;8;0;0;73;Трамвайное управление;Трамвайное управление;4;Наземный городской пассажирский транспорт;НГПТ
1606;73;Красные ворота ( Пассажирское агенство );1;0;0;34;Красные ворота;Красные ворота;8;Сокольническая линия;Сокольническая
39253;73;Шлюз Кошелек;3;0;0;;;;;;
40815;80;Шлюз Кострома;3;0;0;;;;;;
1632;81;Чистые пруды;1;0;0;37;Чистые пруды;Чистые пруды;8;Сокольническая линия;Сокольническая
39816;86;Сервисный центр;8;0;0;;;;;;
39461;86;Сервисный центр;8;0;0;603;АКар;АКар;4;Наземный городской пассажирский транспорт;НГПТ
39460;86;Сервисный центр;8;0;0;86;СЦ;СЦ;4;Наземный городской пассажирский транспорт;НГПТ
40956;87;1865 регион Д СТ;3;0;0;;;;;;
1609;91;Лубянка ( Северный );1;0;0;39;Лубянка;Лубянка;8;Сокольническая линия;Сокольническая
1610;92;Лубянка ( Южный );1;0;0;39;Лубянка;Лубянка;8;Сокольническая линия;Сокольническая
39254;101;Каширское шоссе, д. 4;3;0;0;;;;;;
39018;101;Охотный ряд ( Северный );1;0;0;42;Охотный ряд;Охотный ряд;8;Сокольническая линия;Сокольническая
39255;102;Костромская ул., д. 20;3;0;0;;;;;;
39019;102;Охотный ряд ( Южный );1;0;0;42;Охотный ряд;Охотный ряд;8;Сокольническая линия;Сокольническая
39256;103;Проспект Мира, д. 115;3;0;0;;;;;;
39257;104;Менжинского ул., д. 21;3;0;0;;;;;;
39258;105;Большая Семёновкая ул., д. 21;3;0;0;;;;;;
