WAY_ID;TRANSPORT_ID;CODE;NAME;NAME_SHORT
-239;1;0;метро;м239
1;2;1;1 автобус Зеленоград;А_З-1
2;2;2;2 автобус Зеленоград;А_З-2
3;2;3;3 автобус Зеленоград;А_З-3
4;2;4;4 автобус Зеленоград;А_З-4
5;2;5;5 автобус Зеленоград;АЗ_З-5
6;2;6;7 автобус Зеленоград;АЗ_7
7;2;7;8 автобус Зеленоград;А_З-8
8;2;8;9 автобус Зеленоград;А_З-9
9;2;9;10 автобус Зеленоград;А_З-10
10;2;10;11 автобус Зеленоград;А_З-11
11;2;11;12 автобус Зеленоград;А_З-12
12;2;12;13 автобус Зеленоград;АЗ_13
13;2;13;14 автобус Зеленоград;А_З-14
14;2;14;15 автобус Зеленоград;А_З-15
15;2;15;16 автобус Зеленоград;А_З-16
16;2;16;17 автобус Зеленоград;АЗ_З-17
17;2;17;18 автобус Зеленоград;АЗ_18
18;2;18;19 автобус Зеленоград;А_З-19
19;2;19;20 автобус Зеленоград;А_З-20
20;2;20;21 автобус Зеленоград;А_З-21
21;2;21;22 автобус Зеленоград;А_З-22
22;2;22;23 автобус Зеленоград;А_З-23
23;2;23;М1 автобус;А_М1
24;3;24;19 трамвай;Тр_19
25;2;25;5 автобус;А_5
26;3;26;25 трамвай;Тр_25
27;2;27;707к автобус;А_707к
28;2;28;864 автобус пригород МО;АП_864
29;2;29;720к автобус;А_720к
30;2;30;890 автобус пригород МО;АП_890
31;2;31;Э автобус;А_Э
32;2;32;Э2 автобус;А_Э2
33;2;33;П-Э автобус;А_П-Э
34;2;34;н1 автобус;А_н1
35;3;35;17 трамвай;Тр_17
36;2;36;611с автобус;А_611с
37;2;37;37 автобус;А_37
38;4;38;38 троллейбус;Тб_38
39;2;39;39 автобус;А_39
40;2;40;40 автобус;А_40
41;2;41;41 автобус;А_41
42;2;42;42 автобус;А_42
43;2;43;43 автобус;А_43
44;2;44;44 автобус;А_44
45;2;45;45 автобус;А_45
46;2;46;46 автобус;А_46
47;2;47;865 автобус;А_865
48;2;48;48 автобус;А_48
49;2;49;49 автобус;А_49
50;4;50;50 троллейбус;Тб_50
51;2;51;51 автобус;А_51
52;2;52;52 автобус;А_52
53;2;53;53 автобус;А_53
54;2;54;54 автобус;А_54
55;2;55;55 автобус;А_55
56;2;56;56 автобус;А_56
57;2;57;57 автобус;А_57
58;2;58;58 автобус;А_58
59;2;59;59 автобус;А_59
60;2;60;60 автобус;А_60
61;2;61;61 автобус;А_61
62;2;62;62 автобус;А_62
63;2;63;63 автобус;А_63
64;2;64;64 автобус;А_64
65;2;65;65 автобус;А_65
66;2;66;66 автобус;А_66
67;2;67;67 автобус;А_67
68;2;68;68 автобус;А_68
69;2;69;69 автобус;А_69
70;2;70;70 автобус;А_70
71;2;71;71 автобус;А_71
72;2;72;72 автобус;А_72
73;2;74;74 автобус;А_74
74;2;75;75 автобус;А_75
75;2;76;76 автобус;А_76
76;2;77;77 автобус;А_77
77;2;78;78 автобус;А_78
78;2;79;79 автобус;А_79
79;2;80;80 автобус;А_80
80;2;81;81 автобус;А_81
81;2;82;82 автобус;А_82
82;2;83;83 автобус;А_83
83;2;84;84 автобус;А_84
84;4;85;85 троллейбус;Тб_85
85;2;86;86 автобус;А_86
86;2;87;87 автобус;А_87
87;2;88;88 автобус;А_88
88;2;89;89 автобус;А_89
89;2;90;90 автобус;А_90
90;2;92;92 автобус;А_92
91;2;93;93 автобус;А_93
92;2;94;94 автобус;А_94
93;2;95;95 автобус;А_95
94;2;96;96 автобус;А_96
95;2;97;97 автобус;А_97
96;2;98;98 автобус;А_98
97;2;99;99 автобус;А_99
98;2;100;100 автобус;А_100
99;2;101;101 автобус;А_101
100;2;102;102 автобус;А_102
101;2;103;103 автобус;А_103
102;2;104;104 автобус;А_104
103;2;105;105 автобус;А_105
104;2;106;106 автобус;А_106
105;2;107;107 автобус;А_107
106;2;108;108 автобус;А_108
107;2;109;109 автобус;А_109
108;2;110;110 автобус;А_110
109;2;111;111 автобус;А_111
110;2;112;112 автобус;А_112
111;2;113;113 автобус;А_113
112;2;114;114 автобус;А_114
113;2;115;115 автобус;А_115
114;2;116;116 автобус;А_116
115;2;117;117 автобус;А_117
116;2;118;118 автобус;А_118
117;2;119;119 автобус;А_119
118;2;120;120 автобус;А_120
119;2;121;121 автобус;А_121
120;2;122;122 автобус;А_122
121;2;123;123 автобус;А_123
122;2;124;124 автобус;А_124
123;2;125;125 автобус;А_125
124;2;126;126 автобус;А_126
125;2;127;127 автобус;А_127
126;2;128;128 автобус;А_128
127;2;129;129 автобус;А_129
128;2;130;130 автобус;А_130
129;2;131;131 автобус;А_131
130;2;132;132 автобус;А_132
131;2;133;133 автобус;А_133
132;2;134;134 автобус;А_134
133;2;135;135 автобус;А_135
134;2;136;136 автобус;А_136
135;2;137;137 автобус;А_137
136;2;138;138 автобус;А_138
137;2;139;139 автобус;А_139
138;2;140;140 автобус;А_140
139;2;141;141 автобус;А_141
140;2;142;142 автобус;А_142
141;2;143;143 автобус;А_143
142;2;144;144 автобус;А_144
143;2;145;145 автобус;А_145
144;2;146;146 автобус;А_146
145;2;147;147 автобус;А_147
146;2;148;148 автобус;А_148
147;2;149;149 автобус;А_149
148;2;150;150 автобус;А_150
149;2;151;151 автобус;А_151
150;2;152;152 автобус;А_152
