Номер транзакции	Дата и время транзакции	Номер кристалла БСК	Дата и время начала поездки	Транспортный номер карты	Номер устройства	Признак восстановления срыва	Тип данных	Тариф	Маршрут	Архитектура носителя	Бланк	Тип пересадки	Продукт	Место прохода	Маршрут НГПТ	Уникальный номер билета	Контрагент	Результат прохода	Причина пересадки	Тип транспорта
29298	10.03.2025 14:08	1,46905E+16	10.03.2025 14:08	4227031944	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ МГТ	Нет пересадки	30 дней МГТ СКУ 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29386E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29342	10.03.2025 15:04	1,46905E+16	10.03.2025 15:04	4034564488	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ МГТ	Нет пересадки	30 дней МГТ СКУ 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29368E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29396	10.03.2025 16:24	1,48626E+16	10.03.2025 16:24	4003808136	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ МГТ	Нет пересадки	30 дней МГТ СКУ 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29386E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29330	10.03.2025 14:41	1,5502E+15	10.03.2025 14:42	2967174280	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ МГТ	Нет пересадки	90 дней МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29404E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29338	10.03.2025 15:03	1,46583E+16	10.03.2025 15:04	3186698888	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ МГТ	Нет пересадки	90 дней МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29404E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29339	10.03.2025 15:03	1,48326E+16	10.03.2025 15:03	3719499656	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ МГТ	Нет пересадки	90 дней МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29404E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29252	10.03.2025 11:35	1,46905E+16	10.03.2025 11:35	2324243673	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	90 ММ+МГТ СКС Пр	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,3824E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29154	10.03.2025 7:46	1,48626E+16	10.03.2025 7:47	2324027305	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	30дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30253E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29155	10.03.2025 7:47	1,46561E+16	10.03.2025 7:48	2322121138	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	30дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30253E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29186	10.03.2025 8:48	1,48326E+16	10.03.2025 8:48	2323129533	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	30дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30253E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29227	10.03.2025 10:33	1,48326E+16	10.03.2025 10:33	2323170028	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	30дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30253E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29256	10.03.2025 11:38	1,48626E+16	10.03.2025 11:38	2324199866	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	30дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30253E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29279	10.03.2025 12:48	1,47077E+16	10.03.2025 12:49	2324232367	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	30дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30253E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29321	10.03.2025 14:25	1,46905E+16	10.03.2025 14:26	2324244052	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	30дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30253E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29386	10.03.2025 16:17	1,46905E+16	10.03.2025 16:18	2324109245	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	30дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30271E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29472	10.03.2025 19:56	1,48326E+16	10.03.2025 19:57	2323086872	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	30дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30271E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29190	10.03.2025 8:48	1,48626E+16	10.03.2025 8:48	2324244067	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	90дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30456E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29249	10.03.2025 11:35	1,46905E+16	10.03.2025 11:36	2324094480	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	90дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30456E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29311	10.03.2025 14:19	1,46561E+16	10.03.2025 14:20	2322113802	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	90дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30437E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29312	10.03.2025 14:19	1,46583E+16	10.03.2025 14:19	2322079799	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	90дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30437E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29389	10.03.2025 16:19	1,46905E+16	10.03.2025 16:19	2324156588	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	90дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30437E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29474	10.03.2025 20:11	1,46905E+16	10.03.2025 20:11	2324112914	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКС	Нет пересадки	90дн ММ+МГТ СКС 	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30437E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29167	10.03.2025 8:13	1,56027E+15	09.10.2019 16:15	1618208273	1734630	Нет	Проходы	Базовый		БСК Classic	Бланк СКУ	Нет пересадки	СКУ тек. мес.	Трамвайное управление (2 площадка-Баумана)	36 трамвай		ММ	Отказ. В карте уже был проставлен флаг аннулирован		Трамвай
29212	10.03.2025 9:59	1,46561E+16	10.03.2025 10:00	1622160321	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	30 ММ+МГТ СКУ Пр	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,38775E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29146	10.03.2025 7:37	1,48326E+16	10.03.2025 7:38	1623061433	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	90дн ММ+МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30401E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29289	10.03.2025 13:17	1,48326E+16	10.03.2025 13:18	1623120179	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	90дн ММ+МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30401E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29352	10.03.2025 15:32	1,46587E+16	10.03.2025 15:33	1623043424	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	90дн ММ+МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30401E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29353	10.03.2025 15:32	1,47077E+16	10.03.2025 15:32	1624055120	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	90дн ММ+МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30401E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29191	10.03.2025 8:49	1,48626E+16	10.03.2025 8:50	1624060654	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	30дн ММ+МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30511E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29284	10.03.2025 13:06	1,48626E+16	10.03.2025 13:06	1624003434	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	30дн ММ+МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,3053E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29323	10.03.2025 14:25	1,55438E+15	10.03.2025 14:25	1621032401	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	30дн ММ+МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,3053E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29329	10.03.2025 14:39	1,46905E+16	10.03.2025 14:40	1624134201	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	30дн ММ+МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30511E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29448	10.03.2025 18:49	1,48326E+16	10.03.2025 18:50	1624022142	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк СКУ	Нет пересадки	30дн ММ+МГТ СКУ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,30511E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29459	10.03.2025 19:50	1,48626E+16	10.03.2025 19:50	3071259557	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк ЕД (экиг)	Нет пересадки	30 дней	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29921E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29460	10.03.2025 19:50	1,46905E+16	10.03.2025 19:50	3072022248	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бланк ЕД (экиг)	Нет пересадки	30 дней	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29921E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29407	10.03.2025 16:59	1,22821E+15	10.03.2025 16:59	3986290372	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	365 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29866E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29111	10.03.2025 6:48	1,48326E+16	10.03.2025 6:49	49514634	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29773E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29114	10.03.2025 7:14	1,23088E+15	10.03.2025 7:15	6401091	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29773E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29122	10.03.2025 7:17	1,46583E+16	10.03.2025 7:17	42287163	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29792E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29125	10.03.2025 7:19	1,15597E+15	10.03.2025 7:19	36476777	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29773E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29128	10.03.2025 7:21	1,26783E+15	10.03.2025 7:22	14481958	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29792E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29135	10.03.2025 7:28	1,20016E+15	10.03.2025 7:28	14361460	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29773E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29159	10.03.2025 7:49	1,48326E+16	10.03.2025 7:49	48748179	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29773E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29171	10.03.2025 8:38	1,48239E+16	10.03.2025 8:38	46441295	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29773E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29172	10.03.2025 8:38	1,4639E+16	10.03.2025 8:39	51014007	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29792E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29201	10.03.2025 9:06	1,16601E+15	10.03.2025 9:07	15410321	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29773E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
29210	10.03.2025 9:20	1,20306E+15	10.03.2025 9:21	19057453	1734630	Нет	Проходы	Базовый	НГПТ	БСК Classic	Бл.Тройка МГТ пл	Нет пересадки	30 дней ТАТ	Трамвайное управление (2 площадка-Баумана)	36 трамвай	2,29773E+23	ММ	Валидация прошла успешно. Проход разрешен		Трамвай
